EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 109, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.147960717025,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 110, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1466049823642,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 111, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1452738690741,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 112, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1439667124098,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 113, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1426828713448,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 114, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1414217275224,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 115, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1401826842623,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 116, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1389651656185,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 117, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1377686154872,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 118, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1365924967587,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 119, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1354362905138,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 120, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1342994952597,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 121, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.133181626205,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 122, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1320822145696,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 123, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1310008069296,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 124, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1299369645931,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 125, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1288902630068,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 126, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1278602911911,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 127, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1268466512018,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 128, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.125848957617,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 129, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.124866837049,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 130, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1276111252398,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 131, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1303155292589,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 132, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1329809128328,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 133, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1356081149128,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 134, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1345878829004,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 135, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1335828886544,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 136, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1325927933015,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 137, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1316172679433,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 138, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1306559932923,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 139, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1297086593232,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 140, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1287749649394,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 141, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1278546176538,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 142, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1269473332835,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 143, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1260528356568,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 144, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1251708563331,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 145, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1243011343343,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 146, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.123443415887,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 147, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1225974541755,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 148, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1217630091054,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 149, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.120939847076,  RSSI, -48, Distance, 1
